ID,Company_Name,Date,Time,Open,Close,High,Low
1,Apple Inc,2022-04-21, ,168.88,166.42,171.53,165.91
2,Amazon.com Inc.,2022-04-21, ,3094.28,2965.92,3135,2951.79
3,Meta Platforms Inc - Class A,2022-04-21, ,201.45,188.07,202.965,185.58
4,Alphabet Inc - Class A,2022-04-21, ,2585,2496.29,2601.97,2490.53
5,Microsoft Corporation,2022-04-21, ,288.45,280.81,293.3,280.06
6,NetFlix Inc,2022-04-21, ,220.12,218.22,227.68,211.52
7,Tesla Inc,2022-04-21, ,1075.6,1008.78,1092.22,996.415
8,Twitter Inc,2022-04-21, ,45.59,47.08,47.94,45.5
9,Apple Inc,2022-04-22,12:58:01,166.47,164.73,164.76,164.74
10,Amazon.com Inc.,2022-04-22,12:58:06,2965.29,2906.83,2930.99,2907.15
11,Meta Platforms Inc - Class A,2022-04-22,12:58:24,190.21,183.74,183.77,183
12,Alphabet Inc - Class A,2022-04-22,12:58:01,2500.01,2403.42,2599.54,2224.75
13,Microsoft Corporation,2022-04-22,12:58:26,281.71,277.225,277.23,277.2
14,NetFlix Inc,2022-04-22,12:58:29,220.145,212.11,212.28,211
15,Tesla Inc,2022-04-22,12:58:36,1015.2,1012,1035,1011.89
16,Twitter Inc,2022-04-22,12:58:41,47.81,48.19,48.35,48.18
17,Apple Inc,2022-04-22, ,166.34,161.79,167.87,161.5
18,Amazon.com Inc.,2022-04-22, ,2965,2887,2992.3,2873.95
19,Meta Platforms Inc - Class A,2022-04-22, ,190.31,184.11,192.72,183.27
20,Alphabet Inc - Class A,2022-04-22, ,2500,2392.71,2508.04,2378.39
21,Microsoft Corporation,2022-04-22, ,281.67,274.03,283.2,273.38
22,NetFlix Inc,2022-04-22, ,220.22,215.52,226.27,210.05
23,Tesla Inc,2022-04-22, ,1015.22,1005.05,1034.85,994
24,Twitter Inc,2022-04-22, ,47.9,48.93,49.73,47.49
